               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034654,            0.032829,           0.0092714,             0.70059,             0.59849,             0.64123,             0.37929,            0.040469,            0.027265,            0.015673,            0.007624,            0.007624,            0.007624
                  38,            0.033992,            0.032713,           0.0083901,             0.71915,             0.58192,             0.64774,             0.39139,            0.040436,            0.026847,            0.015877,            0.007558,            0.007558,            0.007558
                  39,            0.034069,            0.032811,            0.008697,             0.72213,             0.61891,             0.66294,             0.39686,            0.040102,            0.026659,            0.015924,            0.007492,            0.007492,            0.007492
                  40,            0.033755,            0.032353,           0.0086201,             0.72591,             0.58865,             0.66469,             0.40294,            0.039828,            0.026519,            0.013754,            0.007426,            0.007426,            0.007426
                  41,            0.033649,              0.0323,           0.0085192,             0.71626,             0.61123,             0.65524,             0.39805,            0.040106,            0.026796,            0.015206,             0.00736,             0.00736,             0.00736
                  42,            0.033638,            0.032544,            0.008367,             0.71876,             0.61443,             0.66392,              0.4026,            0.039618,            0.026679,            0.014918,            0.007294,            0.007294,            0.007294
                  43,            0.033567,            0.032191,           0.0082195,             0.70088,             0.61813,             0.65916,             0.39019,            0.039794,            0.026851,            0.014522,            0.007228,            0.007228,            0.007228
                  44,            0.033363,            0.032408,            0.008471,             0.71577,               0.608,             0.65055,             0.39665,            0.039958,            0.026782,            0.014898,            0.007162,            0.007162,            0.007162
                  45,            0.033034,            0.031794,           0.0084331,             0.69823,               0.624,             0.66614,             0.40194,            0.039504,            0.026782,            0.014754,            0.007096,            0.007096,            0.007096
                  46,            0.033458,            0.031991,           0.0083744,             0.69497,             0.62187,             0.64581,             0.39274,            0.039515,            0.026615,            0.015891,             0.00703,             0.00703,             0.00703
                  47,            0.033313,             0.03124,           0.0080603,             0.71036,             0.61239,             0.66062,             0.40258,            0.039473,            0.026743,            0.014205,            0.006964,            0.006964,            0.006964
                  48,            0.033237,            0.031919,           0.0078428,             0.74127,             0.61063,             0.66718,             0.40828,            0.039793,            0.026956,            0.014382,            0.006898,            0.006898,            0.006898
                  49,            0.032551,            0.031175,           0.0079229,             0.72546,             0.63288,             0.67438,               0.418,             0.03974,            0.027104,            0.014176,            0.006832,            0.006832,            0.006832
                  50,            0.032903,            0.031579,           0.0076749,              0.7576,             0.61013,             0.67239,             0.41019,            0.039325,            0.026911,            0.014879,            0.006766,            0.006766,            0.006766
                  51,            0.032705,            0.030912,           0.0081541,             0.76629,             0.58591,             0.67078,             0.40804,            0.039785,            0.026957,            0.014474,              0.0067,              0.0067,              0.0067
                  52,            0.032423,            0.031298,           0.0079897,             0.73018,             0.59667,             0.66583,             0.40504,            0.039625,            0.027042,            0.015137,            0.006634,            0.006634,            0.006634
                  53,            0.032681,            0.031743,           0.0082593,              0.7614,             0.59281,             0.66706,             0.40565,            0.040063,            0.027401,            0.014819,            0.006568,            0.006568,            0.006568
                  54,            0.032463,            0.031376,           0.0078247,             0.74068,             0.60584,              0.6667,             0.41257,            0.039763,            0.027086,            0.015238,            0.006502,            0.006502,            0.006502
                  55,            0.032191,             0.03104,            0.007733,             0.74236,             0.61944,             0.67887,             0.41371,             0.03986,            0.027105,            0.014792,            0.006436,            0.006436,            0.006436
                  56,            0.032049,            0.030662,           0.0075178,             0.71822,              0.6357,             0.68125,             0.41879,            0.040026,            0.026897,            0.014326,             0.00637,             0.00637,             0.00637
                  57,            0.031912,            0.030761,           0.0075274,             0.74803,              0.6214,             0.68044,             0.42424,            0.039652,            0.027078,            0.014668,            0.006304,            0.006304,            0.006304
                  58,            0.031937,            0.030827,           0.0072868,             0.74132,             0.62251,             0.68996,              0.4212,            0.039246,            0.026833,            0.013681,            0.006238,            0.006238,            0.006238
                  59,            0.031921,            0.030595,           0.0073133,             0.72715,             0.63211,              0.6716,             0.41472,            0.039581,            0.026973,            0.015233,            0.006172,            0.006172,            0.006172
                  60,            0.031912,            0.030867,           0.0071926,             0.73654,             0.61998,             0.67991,             0.42841,            0.039548,            0.027128,            0.014877,            0.006106,            0.006106,            0.006106
                  61,            0.031555,            0.030079,           0.0075831,             0.75074,             0.61943,             0.68184,             0.41995,            0.039623,             0.02761,            0.014395,             0.00604,             0.00604,             0.00604
                  62,            0.031574,            0.030721,           0.0074749,             0.75356,             0.60058,              0.6804,             0.42029,            0.039485,            0.027117,            0.014377,            0.005974,            0.005974,            0.005974
                  63,            0.031483,            0.030419,           0.0071195,             0.75843,             0.59865,             0.67504,             0.41725,            0.039594,            0.027205,            0.014741,            0.005908,            0.005908,            0.005908
                  64,            0.031489,            0.030404,           0.0072011,             0.74597,             0.62692,             0.67145,             0.42198,             0.03956,            0.027265,            0.014851,            0.005842,            0.005842,            0.005842
                  65,            0.031235,            0.030136,           0.0069786,             0.75612,             0.61143,             0.66924,             0.41378,            0.039537,            0.026899,            0.014996,            0.005776,            0.005776,            0.005776
                  66,            0.031159,            0.029707,           0.0071596,             0.75068,             0.62804,             0.68362,             0.42675,            0.039853,            0.027261,            0.014992,             0.00571,             0.00571,             0.00571
                  67,            0.030812,            0.029339,           0.0072564,              0.7347,             0.62539,             0.68173,             0.42527,            0.039653,            0.027396,            0.014846,            0.005644,            0.005644,            0.005644
                  68,            0.030968,            0.029553,           0.0067583,             0.74503,             0.61679,              0.6686,             0.42043,            0.039697,            0.027766,            0.014537,            0.005578,            0.005578,            0.005578
                  69,            0.030766,            0.029548,           0.0067895,             0.73118,             0.62814,             0.67153,             0.42206,            0.039356,             0.02749,            0.014281,            0.005512,            0.005512,            0.005512
                  70,            0.030506,            0.029683,           0.0069736,              0.7498,             0.61743,             0.67999,             0.42516,            0.039645,            0.027362,            0.014493,            0.005446,            0.005446,            0.005446
                  71,            0.030567,            0.029258,           0.0068512,             0.76368,             0.60442,              0.6769,             0.42666,            0.039729,             0.02766,            0.014365,             0.00538,             0.00538,             0.00538
                  72,            0.030297,            0.029116,            0.006842,             0.76287,             0.60939,             0.68044,             0.42837,            0.039726,            0.027793,            0.014446,            0.005314,            0.005314,            0.005314
                  73,            0.030395,            0.029547,           0.0067358,             0.75748,             0.61737,             0.68267,             0.43139,            0.039407,            0.027364,            0.014981,            0.005248,            0.005248,            0.005248
                  74,            0.030565,            0.029407,           0.0064505,             0.74832,             0.62485,             0.68216,             0.43138,            0.039338,            0.027265,            0.014868,            0.005182,            0.005182,            0.005182
                  75,            0.030357,            0.028602,           0.0067753,             0.71865,             0.63013,             0.67386,             0.42525,            0.039889,            0.027719,            0.015286,            0.005116,            0.005116,            0.005116
                  76,            0.030086,             0.02906,           0.0067561,             0.73834,             0.63421,             0.67878,             0.42802,            0.039658,            0.027594,            0.014764,             0.00505,             0.00505,             0.00505
                  77,            0.029702,            0.028732,           0.0062833,             0.75541,             0.62108,             0.68593,             0.42933,            0.039673,            0.027908,            0.013872,            0.004984,            0.004984,            0.004984
                  78,            0.030154,             0.02894,           0.0066826,             0.76113,             0.62541,             0.68444,             0.43193,            0.040037,            0.027686,            0.014324,            0.004918,            0.004918,            0.004918
                  79,             0.03026,            0.028877,           0.0066972,              0.7482,             0.62594,             0.67323,              0.4246,            0.039713,            0.027755,            0.014381,            0.004852,            0.004852,            0.004852
                  80,            0.029877,            0.028992,           0.0068746,             0.74684,             0.62514,             0.68333,             0.43466,            0.039143,             0.02816,            0.014167,            0.004786,            0.004786,            0.004786
                  81,            0.029781,            0.028759,            0.006405,             0.76395,             0.62092,             0.69151,             0.43598,            0.039138,            0.028083,            0.014288,             0.00472,             0.00472,             0.00472
                  82,            0.029857,            0.028448,           0.0064843,             0.74122,             0.62385,             0.67892,             0.42557,            0.039337,            0.028082,            0.014682,            0.004654,            0.004654,            0.004654
